ID,OrphaCode,DisorderName,DisorderType,GroupID,GroupName,Count,DDA,DDAFreq,DDASeverity
230,893,WAGR syndrome,Malformation syndrome,36547,Disorder,91,Seeing/watching,Very frequent,Moderate
3716,503,Larsen syndrome,Malformation syndrome,36547,Disorder,10,Hearing/listening,Frequent,Moderate
219,894,Waardenburg syndrome type 1,Clinical subtype,36554,Subtype of disorder,32,"Managing one's health (diet, medications, prevention, needs, assistance, monitoring)",Frequent,Moderate
220,895,Waardenburg syndrome type 2,Clinical subtype,36554,Subtype of disorder,32,Hearing/listening,Very frequent,Moderate
959,897,Waardenburg-Shah syndrome,Disease,36547,Disorder,36,Hearing/listening,Very frequent,Moderate
10313,33226,Waldenstr�m macroglobulinemia,Disease,36547,Disorder,48,Seeing/watching,Occasional,Unspecified
3033,3449,Weill-Marchesani syndrome,Malformation syndrome,36547,Disorder,8,Seeing/watching,Frequent,Unspecified
759,900,Granulomatosis with polyangiitis,Disease,36547,Disorder,43,Standing,Occasional,Low
960,902,Werner syndrome,Disease,36547,Disorder,25,Speaking,Very frequent,Unspecified
14544,99971,Well-differentiated liposarcoma,Histopathological subtype,36554,Subtype of disorder,55,Standing,Very frequent,Severe
839,2314,Autosomal dominant hyper-IgE syndrome,Disease,36547,Disorder,9,Taking part in community life,Occasional,Moderate
5543,428,Autosomal dominant hypocalcemia,Clinical subtype,36554,Subtype of disorder,7,"Performing vigorous activities (climbing, running, jumping, swimming,...)",Frequent,Low
894,3451,West syndrome,Clinical syndrome,36547,Disorder,111,Seeing/watching,Very frequent,Low
145,904,Williams syndrome,Malformation syndrome,36547,Disorder,78,Seeing/watching,Frequent,Low
134,905,Wilson disease,Disease,36547,Disorder,68,Walking short distances,Occasional,Severe
812,3463,Wolfram syndrome,Disease,36547,Disorder,55,Learning a profession (vocational training/apprenticeship) in the standard environment,Very frequent,Severe
1461,1215,Autosomal dominant optic atrophy plus syndrome,Disease,36547,Disorder,67,Receiving nonverbal messages,Frequent,Moderate
13690,98673,"Autosomal dominant optic atrophy, classic form",Disease,36547,Disorder,46,Seeing/watching,Very frequent,Severe
13880,98863,X-linked Emery-Dreifuss muscular dystrophy,Etiological subtype,36554,Subtype of disorder,42,Writing,Occasional,Low
14786,101075,X-linked Charcot-Marie-Tooth disease type 1,Disease,36547,Disorder,42,"Performing vigorous activities (climbing, running, jumping, swimming,...)",Very frequent,Unspecified
16884,139396,X-linked cerebral adrenoleukodystrophy,Clinical subtype,36554,Subtype of disorder,82,Seeing/watching,Very frequent,Severe
293,861,Treacher-Collins syndrome,Malformation syndrome,36547,Disorder,69,Seeing/watching,Occasional,Unspecified
