OrphaCode,DisorderName,DisorderType,HPOTerm0,HPOFrequency0,HPOTerm1,HPOFrequency1,HPOTerm2,HPOFrequency2,HPOTerm3,HPOFrequency3,HPOTerm4,HPOFrequency4,HPOTerm5,HPOFrequency5,HPOTerm6,HPOFrequency6,HPOTerm7,HPOFrequency7,HPOTerm8,HPOFrequency8,HPOTerm9,HPOFrequency9,HPOTerm10,HPOFrequency10,HPOTerm11,HPOFrequency11
58,Alexander disease,Disease,Macrocephaly,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Seizures,Very frequent (99-80%),Spasticity,Very frequent (99-80%),Agenesis of corpus callosum,Very frequent (99-80%),Hyperreflexia,Very frequent (99-80%),Megalencephaly,Very frequent (99-80%),Failure to thrive,Very frequent (99-80%),Frontal bossing,Very frequent (99-80%),Nausea and vomiting,Very frequent (99-80%),Neurological speech impairment,Very frequent (99-80%),Clonus,Very frequent (99-80%)
61,Alpha-mannosidosis,Disease,Macroglossia,Very frequent (99-80%),Coarse facial features,Very frequent (99-80%),Hearing impairment,Very frequent (99-80%),Cataract,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Global developmental delay,Very frequent (99-80%),Splenomegaly,Very frequent (99-80%),Hepatomegaly,Very frequent (99-80%),Skeletal dysplasia,Very frequent (99-80%),Delayed skeletal maturation,Very frequent (99-80%),Craniofacial hyperostosis,Very frequent (99-80%),Depressed nasal bridge,Very frequent (99-80%)
93,Aspartylglucosaminuria,Disease,Inguinal hernia,Occasional (29-5%),Macroorchidism,Frequent (79-30%),Macroglossia,Frequent (79-30%),Abnormality of the dentition,Frequent (79-30%),Gingival overgrowth,Very frequent (99-80%),Coarse facial features,Frequent (79-30%),Mandibular prognathia,Very frequent (99-80%),Hypertelorism,Very frequent (99-80%),Chronic otitis media,Occasional (29-5%),Wide nasal bridge,Very frequent (99-80%),Carious teeth,Frequent (79-30%),Behavioral abnormality,Occasional (29-5%)
585,Multiple sulfatase deficiency,Disease,Hydrocephalus,Frequent (79-30%),Microcephaly,Occasional (29-5%),Macrocephaly,Frequent (79-30%),Coarse facial features,Frequent (79-30%),Smooth philtrum,Frequent (79-30%),Sensorineural hearing impairment,Frequent (79-30%),Anteverted nares,Frequent (79-30%),Visual impairment,Very frequent (99-80%),Cataract,Frequent (79-30%),Thick eyebrow,Frequent (79-30%),Optic atrophy,Frequent (79-30%),Intellectual disability,Very frequent (99-80%)
141,Canavan disease,Disease,Macrocephaly,Frequent (79-30%),Hearing impairment,Frequent (79-30%),Visual impairment,Frequent (79-30%),Blindness,Frequent (79-30%),Optic atrophy,Very frequent (99-80%),Abnormality of visual evoked potentials,Frequent (79-30%),Seizures,Occasional (29-5%),Muscular hypotonia,Frequent (79-30%),Global developmental delay,Very frequent (99-80%),Hypertonia,Frequent (79-30%),Flexion contracture,Occasional (29-5%),Gastroesophageal reflux,Frequent (79-30%)
213,Cystinosis,Disease,Proteinuria,Very frequent (99-80%),Nephropathy,Very frequent (99-80%),Renal tubular dysfunction,Very frequent (99-80%),Photophobia,Very frequent (99-80%),Stereotypy,Very frequent (99-80%),Hypothyroidism,Very frequent (99-80%),Delayed puberty,Very frequent (99-80%),Muscle weakness,Very frequent (99-80%),Failure to thrive,Very frequent (99-80%),Dehydration,Very frequent (99-80%),Polydipsia,Very frequent (99-80%),Vomiting,Very frequent (99-80%)
349,Fucosidosis,Disease,Abnormality of the dentition,Occasional (29-5%),Brachycephaly,Very frequent (99-80%),Coarse facial features,Very frequent (99-80%),Hearing impairment,Very frequent (99-80%),Hypothyroidism,Very frequent (99-80%),Dysostosis multiplex,Very frequent (99-80%),Hyperhidrosis,Very frequent (99-80%),Acrocyanosis,Occasional (29-5%),Seizures,Frequent (79-30%),Muscular hypotonia,Frequent (79-30%),Spasticity,Frequent (79-30%),Global developmental delay,Very frequent (99-80%)
583,Mucopolysaccharidosis type 6,Disease,Macroglossia,Occasional (29-5%),Thick lower lip vermilion,Very frequent (99-80%),Sinusitis,Very frequent (99-80%),Coarse facial features,Very frequent (99-80%),Hearing impairment,Frequent (79-30%),Chronic otitis media,Very frequent (99-80%),Short neck,Frequent (79-30%),Visual impairment,Occasional (29-5%),Broad ribs,Frequent (79-30%),Abnormality of the metaphysis,Very frequent (99-80%),Joint stiffness,Very frequent (99-80%),Failure to thrive,Very frequent (99-80%)
812,Sialidosis type 1,Disease,Thick lower lip vermilion,Very frequent (99-80%),Coarse facial features,Very frequent (99-80%),Sensorineural hearing impairment,Very frequent (99-80%),Wide nasal bridge,Very frequent (99-80%),Retinopathy,Very frequent (99-80%),Visual impairment,Very frequent (99-80%),Cataract,Occasional (29-5%),Progressive visual loss,Very frequent (99-80%),Nystagmus,Very frequent (99-80%),Decreased nerve conduction velocity,Frequent (79-30%),Pectus carinatum,Very frequent (99-80%),Dysostosis multiplex,Very frequent (99-80%)
578,Mucolipidosis type IV,Disease,Everted lower lip vermilion,Occasional (29-5%),Microcephaly,Occasional (29-5%),Coarse facial features,Occasional (29-5%),Strabismus,Very frequent (99-80%),Retinopathy,Very frequent (99-80%),Abnormal electroretinogram,Occasional (29-5%),Photophobia,Very frequent (99-80%),Nystagmus,Frequent (79-30%),Microdontia,Occasional (29-5%),Behavioral abnormality,Very frequent (99-80%),Palmoplantar keratoderma,Occasional (29-5%),Intellectual disability,Very frequent (99-80%)
577,Mucolipidosis type III,Disease,Inguinal hernia,Frequent (79-30%),Cleft palate,Occasional (29-5%),Prominent occiput,Very frequent (99-80%),Coarse facial features,Frequent (79-30%),Hearing abnormality,Very frequent (99-80%),Visual impairment,Very frequent (99-80%),Acne,Frequent (79-30%),Joint stiffness,Very frequent (99-80%),Abnormal aortic valve morphology,Occasional (29-5%),Abnormal heart valve morphology,Occasional (29-5%),Abnormal facial shape,Very frequent (99-80%),Malformation of the heart and great vessels,Frequent (79-30%)
796,Sandhoff disease,Disease,Macrocephaly,Very frequent (99-80%),Full cheeks,Frequent (79-30%),Hearing impairment,Very frequent (99-80%),Blindness,Very frequent (99-80%),Seizures,Very frequent (99-80%),Ataxia,Very frequent (99-80%),Muscle weakness,Frequent (79-30%),Failure to thrive,Very frequent (99-80%),Congestive heart failure,Occasional (29-5%),Splenomegaly,Frequent (79-30%),Recurrent respiratory infections,Frequent (79-30%),Hepatomegaly,Frequent (79-30%)
584,Mucopolysaccharidosis type 7,Disease,Inguinal hernia,Very frequent (99-80%),Coarse facial features,Very frequent (99-80%),Short neck,Occasional (29-5%),Lymphedema,Very frequent (99-80%),Intellectual disability,Very frequent (99-80%),Muscular hypotonia,Frequent (79-30%),Joint stiffness,Frequent (79-30%),Umbilical hernia,Very frequent (99-80%),Ascites,Very frequent (99-80%),Splenomegaly,Frequent (79-30%),Hydrops fetalis,Frequent (79-30%),Metatarsus adductus,Frequent (79-30%)
