@_id,OrphaCode,Name/#text,DisorderType/Name/#text,DisorderGroup/Name/#text,DisorderGeneAssociationList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/Symbol,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/GeneType/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/0/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/0/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/1/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/1/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/2/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/3/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/2/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/3/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/4/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/5/Reference,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/4/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/ExternalReferenceList/ExternalReference/5/Source,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/LocusList/@_count,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/LocusList/Locus/GeneLocus,DisorderGeneAssociationList/DisorderGeneAssociation/DisorderGeneAssociationType/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/DisorderGeneAssociationStatus/Name/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/0/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/1/#text,DisorderGeneAssociationList/DisorderGeneAssociation/Gene/SynonymList/Synonym/2/#text
5,93,Aspartylglucosaminuria,Disease,Disorder,1,aspartylglucosaminidase,AGA,3.0,gene with protein product,6.0,Reactome,P20933,Ensembl,ENSG00000038002,Genatlas,HGNC,AGA,318,613228,P20933,OMIM,SwissProt,1.0,4q34.3,Disease-causing germline mutation(s) in,Assessed,ASRG,N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase,glycosylasparaginase
17610,166073,Pontocerebellar hypoplasia type 6,Malformation syndrome,Disorder,1,"arginyl-tRNA synthetase 2, mitochondrial",RARS2,6.0,gene with protein product,6.0,Ensembl,ENSG00000146282,Genatlas,RARS2,HGNC,OMIM,21406,611524,Q5T160,Q5T160,Reactome,SwissProt,1.0,6q15,Disease-causing germline mutation(s) in,Assessed,DALRD2,MGC14993,MGC23778
12,333,Farber disease,Disease,Disorder,1,N-acylsphingosine amidohydrolase 1,ASAH1,6.0,gene with protein product,6.0,Ensembl,ENSG00000104763,Genatlas,ASAH1,HGNC,OMIM,735,613468,Q13510,Q13510,Reactome,SwissProt,1.0,8p22,Disease-causing germline mutation(s) in,Assessed,AC,ACDase,FLJ21558
13,349,Fucosidosis,Disease,Disorder,1,alpha-L-fucosidase 1,FUCA1,4.0,gene with protein product,6.0,Ensembl,ENSG00000179163,Genatlas,FUCA1,HGNC,OMIM,4006,612280,P04066,P04066,Reactome,SwissProt,1.0,1p36.11,Disease-causing germline mutation(s) in,Assessed,&amp;#945;-L-fucosidase 1,a-L-fucosidase 1,tissue fucosidase
17,368,Glycogen storage disease due to muscle glycogen phosphorylase deficiency,Disease,Disorder,1,"glycogen phosphorylase, muscle associated",PYGM,4.0,gene with protein product,6.0,Ensembl,ENSG00000068976,Genatlas,PYGM,HGNC,OMIM,9726,608455,P11217,P11217,Reactome,SwissProt,1.0,11q13.1,Disease-causing germline mutation(s) in,Assessed,McArdle syndrome,"glycogen phosphorylase, muscle form",glycogen storage disease type V
19,371,Glycogen storage disease due to muscle phosphofructokinase deficiency,Disease,Disorder,1,"phosphofructokinase, muscle",PFKM,3.0,gene with protein product,6.0,Ensembl,ENSG00000152556,Genatlas,PFKM,HGNC,OMIM,8877,610681,P08237,P08237,Reactome,SwissProt,1.0,12q13.11,Disease-causing germline mutation(s) in,Assessed,PFK-1,PPP1R122,"protein phosphatase 1, regulatory subunit 122"
18,369,Glycogen storage disease due to liver glycogen phosphorylase deficiency,Disease,Disorder,1,glycogen phosphorylase L,PYGL,3.0,gene with protein product,6.0,SwissProt,P06737,Ensembl,ENSG00000100504,Genatlas,HGNC,PYGL,9725,613741,P06737,OMIM,Reactome,1.0,14q22.1,Disease-causing germline mutation(s) in,Assessed,Hers disease,"glycogen phosphorylase, liver form",glycogen storage disease type VI
21,447,Paroxysmal nocturnal hemoglobinuria,Disease,Disorder,1,phosphatidylinositol glycan anchor biosynthesis class A,PIGA,3.0,gene with protein product,6.0,Ensembl,ENSG00000165195,Genatlas,PIGA,HGNC,OMIM,8957,311770,P37287,P37287,Reactome,SwissProt,1.0,Xp22.2,Disease-causing somatic mutation(s) in,Assessed,GPI3,paroxysmal nocturnal hemoglobinuria,phosphatidylinositol N-acetylglucosaminyltransferase
17620,166108,"Intellectual disability, Birk-Barel type",Disease,Disorder,1,potassium two pore domain channel subfamily K member 9,KCNK9,3.0,gene with protein product,7.0,Ensembl,ENSG00000169427,Genatlas,KCNK9,HGNC,IUPHAR,6283,520,605874,Q9NPC2,OMIM,Reactome,1.0,8q24.3,Disease-causing germline mutation(s) in,Assessed,K2p9.1,TASK-3,TASK3
17626,166272,Odontochondrodysplasia,Malformation syndrome,Disorder,1,thyroid hormone receptor interactor 11,TRIP11,5.0,gene with protein product,6.0,OMIM,604505,Reactome,Q15643,SwissProt,Ensembl,Q15643,ENSG00000100815,TRIP11,12305,Genatlas,HGNC,1.0,14q32.12,Disease-causing germline mutation(s) in,Assessed,CEV14,GMAP-210,GMAP210
